id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
641,210,2010,0.5,54.0,0.1,1.8,73.0,65.8,20.7,12.4,48.2,3.6,0.1,26.6,5.2,1.8,,104.3,108.0,,,,,35.6,26.8
642,210,2018,0.5,53.2,0.2,1.8,73.8,66.9,20.5,15.5,50.2,3.7,0.7,24.8,6.0,1.8,,,,,,,,30.9,31.0
643,211,2005,0.8,65.2,1.4,2.0,76.3,71.4,25.5,10.0,35.0,0.3,0.1,23.0,5.4,0.9,6.5,109.3,114.0,88.3,81.4,35.1,28.6,2.6,22.8
644,211,2010,1.0,66.7,1.5,2.0,77.0,72.3,23.3,10.4,43.2,0.4,0.1,18.7,5.9,1.2,6.3,105.3,109.0,93.4,87.5,42.6,27.8,2.7,27.6
645,211,2018,1.2,68.9,1.6,2.3,77.1,73.0,24.0,12.6,57.7,0.5,0.6,18.5,6.7,1.3,6.6,113.2,116.2,97.9,88.1,41.2,24.1,3.0,31.3
646,212,2005,1.4,67.8,2.4,2.4,74.9,68.0,28.6,9.6,1319.2,1.9,8.7,24.7,4.9,1.5,3.0,100.5,105.8,76.1,91.6,27.9,38.2,4.9,4.4
647,212,2010,1.3,70.8,2.1,2.2,76.9,69.9,26.9,10.4,1367.0,1.9,17.8,16.4,5.1,1.7,2.8,100.6,102.0,80.5,87.9,50.5,62.1,4.2,9.1
648,212,2018,1.6,75.1,2.4,2.1,78.1,71.5,24.6,12.3,4882.0,6.0,3470.1,12.6,4.1,1.7,4.4,102.9,103.6,101.7,104.4,88.9,101.8,4.3,14.6
649,213,2005,1.0,47.1,1.5,2.8,68.2,60.3,32.6,6.1,213.1,4.5,12.0,62.1,9.6,4.4,,,,,,,,4.3,26.0
650,213,2010,1.4,48.5,2.0,2.6,69.6,62.2,29.5,6.1,198.0,3.9,20.1,54.2,5.0,2.3,,,,,,,,4.2,16.8
651,213,2018,1.8,51.6,2.5,3.0,70.8,63.9,30.8,7.6,195.1,3.4,3.4,46.9,6.3,2.3,3.0,87.5,89.2,84.0,87.6,6.2,9.7,,25.8
652,214,2005,6.7,87.7,7.5,,77.3,75.1,28.6,5.2,13.1,49.6,,,,,,,,,,,,0.0,
653,214,2010,3.2,90.2,3.7,,,,,,17.2,55.5,,,,,,,,,,,,6.6,
654,214,2018,2.0,93.1,2.5,,77.8,75.8,19.2,7.6,24.5,69.2,0.0,,,,3.3,,,,,,,5.9,
655,215,2005,1.2,49.7,2.8,3.7,,,36.2,8.6,0.2,1.8,,,11.1,1.0,,97.6,101.4,74.1,67.4,,,0.0,0.0
656,215,2010,1.0,54.8,2.9,,71.9,67.4,,,0.2,1.5,,10.3,14.4,1.2,,97.6,102.4,,,,,9.5,0.0
657,215,2018,0.9,62.4,2.6,3.6,,,31.1,9.9,0.1,1.3,,,15.0,,,118.8,119.6,108.2,85.0,,,18.6,6.7
658,216,2005,3.4,17.0,6.2,6.7,52.1,47.8,49.8,3.6,653.0,2.3,260.7,79.4,11.3,0.1,5.0,119.2,120.2,17.0,21.1,2.7,4.4,8.7,23.9
659,216,2010,3.4,19.4,6.1,6.4,56.7,53.6,49.3,3.4,529.2,1.6,594.4,68.2,10.7,,2.4,117.7,115.9,21.6,26.3,3.5,4.4,9.3,31.5
660,216,2018,3.4,23.8,6.0,5.9,60.7,56.5,47.4,3.3,1692.1,3.9,1489.7,60.2,7.3,0.1,2.3,101.3,98.3,,,4.0,5.2,11.5,34.3
661,217,2005,-0.8,67.8,-0.6,1.1,73.4,61.8,14.6,20.4,5050.3,10.8,76.9,14.8,6.1,,6.1,106.2,106.6,91.8,99.2,78.0,63.1,6.5,5.3
662,217,2010,-0.5,68.6,-0.2,1.4,73.8,62.2,14.1,21.0,4818.8,10.5,46.4,12.6,6.4,3.5,7.3,99.1,98.5,94.3,96.7,89.5,71.2,4.3,8.0
663,217,2018,-0.5,69.4,-0.4,1.5,76.0,66.1,15.8,23.5,4964.3,11.2,1845.0,8.8,6.1,3.0,5.9,100.9,98.9,95.7,97.8,89.5,77.6,6.3,12.3
664,218,2005,7.5,82.3,8.0,2.4,76.3,74.1,18.4,1.7,3281.0,71.6,0.2,9.2,2.3,1.6,,,,,,,,1.2,0.0
665,218,2010,11.8,84.1,12.3,2.0,77.3,75.2,13.4,1.5,7316.6,88.5,0.6,6.9,3.9,1.5,,98.9,96.9,,,29.9,10.7,0.8,22.5
666,218,2018,2.0,86.5,2.4,1.8,78.2,76.0,13.9,2.6,8312.5,88.4,1.7,6.2,3.5,1.6,,108.9,112.8,93.0,98.6,53.2,26.7,0.9,22.5
667,219,2005,0.4,79.9,0.8,1.7,80.6,76.1,18.0,21.2,5926.2,9.8,316.6,5.3,7.2,,5.0,106.2,106.3,107.0,103.9,68.9,49.5,1.4,18.1
668,219,2010,1.0,81.3,1.3,1.9,81.8,77.5,17.5,22.7,7604.6,12.0,253.3,4.8,8.5,2.7,5.8,104.5,105.0,103.2,102.9,67.9,50.7,1.2,19.5
669,219,2018,0.6,83.4,1.0,1.9,82.8,79.0,17.8,24.2,8841.7,13.4,152.7,4.1,9.9,2.8,5.6,101.8,102.0,127.5,123.6,65.8,49.2,1.2,32.0
670,220,2005,2.8,24.8,5.0,5.7,55.4,52.0,45.3,4.6,770.8,2.0,630.6,67.1,,0.0,4.6,99.7,104.9,,,0.9,2.0,7.6,21.4
671,220,2010,3.1,28.1,5.6,5.6,60.1,57.5,45.3,4.7,308.6,0.7,273.8,52.4,,,4.6,97.7,97.1,27.1,34.3,1.9,2.4,8.4,30.7
672,220,2018,3.1,33.8,5.5,5.2,64.8,60.8,44.7,4.7,492.6,0.9,511.9,44.0,6.1,0.0,3.5,82.0,79.5,30.3,33.1,2.7,5.2,7.0,37.2
673,221,2005,-0.2,93.7,0.1,2.1,79.5,74.9,22.4,16.6,56.6,52.6,,11.6,,,,,,,,,,34.3,
674,221,2010,-0.3,94.6,-0.1,2.4,80.3,75.5,20.8,20.4,56.7,53.4,,10.7,,,,,,,,,,52.8,
675,221,2018,-0.2,95.7,-0.1,2.3,81.5,76.7,20.0,26.0,56.7,54.1,,9.3,,,,,,,,,,49.3,
676,222,2005,0.9,79.9,1.1,2.0,79.7,74.5,20.9,16.7,39258.3,13.3,549.2,7.0,14.5,2.7,,98.1,99.2,95.5,93.6,,,5.7,14.9
677,222,2010,0.9,80.8,1.1,2.0,80.6,75.6,20.2,18.4,44183.6,14.3,270.9,6.8,16.4,2.4,5.4,99.2,100.1,93.6,92.5,,,4.8,16.8
678,222,2018,0.7,82.3,0.9,1.9,81.2,76.5,18.8,22.0,49777.0,15.3,971.5,6.0,16.8,2.6,5.0,99.4,99.2,97.7,96.7,,,5.4,19.5
679,223,2005,0.0,93.3,0.3,2.2,78.9,71.6,23.8,17.9,82.3,2.5,0.1,14.4,8.6,3.7,2.7,112.4,115.3,108.5,94.2,57.9,33.2,5.7,12.1
680,223,2010,0.3,94.4,0.5,2.1,79.7,72.5,22.5,18.4,76.3,2.3,0.2,13.4,8.4,3.9,2.9,110.2,113.9,96.2,84.6,58.0,34.5,6.1,14.1
681,223,2018,0.3,95.3,0.5,2.0,80.4,73.2,20.9,19.7,79.6,2.3,1.1,12.7,9.2,,4.4,106.2,108.6,,,,,7.7,20.2
682,224,2005,1.3,48.5,2.3,2.5,71.0,64.5,32.6,6.6,1329.3,5.0,44.5,49.5,5.3,,,96.7,96.8,87.3,89.9,8.2,11.9,3.4,17.5
683,224,2010,1.5,51.0,2.5,2.5,72.2,66.1,29.1,6.2,1220.1,4.3,0.3,40.7,5.5,2.6,,92.8,94.5,89.6,89.6,7.6,11.1,3.0,22.0
684,224,2018,1.6,50.5,1.5,2.4,73.5,68.1,28.0,7.9,1159.2,3.6,86.4,31.3,6.2,2.5,,102.3,103.9,92.4,93.6,6.9,11.3,,16.0
685,225,2005,2.5,23.1,3.7,4.1,70.3,66.7,39.7,5.2,2.8,1.3,,34.6,1.9,0.1,8.4,116.1,119.2,39.5,45.8,3.5,5.9,2.5,3.8
686,225,2010,2.4,24.5,3.6,3.6,72.1,68.2,38.2,5.7,3.0,1.3,0.0,28.6,2.8,0.1,5.0,121.9,123.0,59.5,59.6,,,2.3,3.8
687,225,2018,2.3,25.3,2.7,3.4,73.6,69.4,35.8,6.8,3.2,1.2,0.0,24.3,3.5,0.2,5.5,118.7,120.7,56.4,53.4,,,2.1,0.0
688,226,2005,1.8,88.0,1.9,2.7,77.2,68.8,31.7,7.4,1070.6,4.0,206.3,18.1,4.0,1.9,,101.6,103.7,77.5,68.6,41.2,38.4,37.2,9.7
689,226,2010,1.6,88.1,1.6,2.5,77.7,69.4,29.8,8.3,1331.5,4.6,217.4,15.9,4.5,,6.9,99.9,102.9,84.7,77.2,97.7,57.8,45.1,17.5
690,226,2018,1.4,88.2,1.4,2.4,78.2,69.9,27.3,10.2,1426.3,4.5,172.8,13.8,3.2,,,95.2,97.8,88.9,82.5,,,56.3,22.2
691,227,2005,1.0,27.3,3.2,1.9,78.7,68.9,27.2,8.6,51.8,0.1,17.4,25.3,5.0,0.6,,94.5,99.5,,,13.3,18.7,1.2,27.3
692,227,2010,1.0,30.4,3.1,1.9,79.6,69.7,23.7,8.9,61.8,0.1,12.1,22.2,5.9,0.7,5.1,102.2,107.6,,,22.7,22.6,1.5,25.8
693,227,2018,1.1,35.9,3.2,2.0,80.3,70.7,23.0,11.6,76.1,0.1,11.0,19.3,5.7,0.8,5.7,110.1,109.8,,,31.3,25.3,1.5,26.7
694,228,2005,0.1,0.0,0.0,,75.5,73.1,,,2.4,16.2,,,,,,,,,,,,,
695,228,2010,-1.6,0.0,0.0,,,,,,2.8,20.7,,5.2,,,,,,,,,,,
696,228,2018,-2.1,0.0,0.0,2.1,78.7,72.8,25.5,15.4,2.8,23.6,,,,,,,,,,,,,
697,229,2005,6.6,86.0,6.7,2.8,65.8,62.3,31.5,3.6,3.9,0.9,,52.9,,,,,,,,,,,
698,229,2010,1.9,86.3,1.9,2.6,68.1,64.7,29.4,3.8,4.5,0.9,,43.1,,,,,,,,,,,
699,229,2018,1.8,86.7,1.9,2.6,70.3,66.9,27.7,5.7,5.4,1.0,,34.1,,,,,,,,,,,
700,230,2005,2.8,28.9,4.8,5.9,62.4,59.7,45.7,4.2,171.1,0.8,82.8,67.9,4.6,0.3,9.2,74.4,100.6,29.7,60.7,5.1,13.9,4.6,0.3
701,230,2010,2.7,31.8,4.6,5.0,64.1,61.4,42.5,4.4,285.8,1.2,508.6,53.0,5.2,0.3,5.2,81.2,99.5,33.2,53.4,6.4,14.6,4.7,0.3
702,230,2018,2.6,36.6,4.4,4.4,65.6,62.8,39.6,4.6,384.3,1.4,3206.8,47.2,6.0,0.3,,86.1,98.6,42.8,58.9,6.1,13.7,6.7,0.0
703,231,2005,2.7,36.9,3.9,6.0,48.4,45.3,47.0,3.9,252.7,2.1,185.7,82.2,7.4,0.1,1.7,107.4,112.5,,,,,7.6,12.0
704,231,2010,2.8,39.4,4.1,5.6,54.7,51.2,46.8,3.8,149.6,1.1,57.9,65.2,4.6,0.1,1.1,105.9,104.5,,,,,5.9,14.0
705,231,2018,3.0,43.5,4.3,5.2,61.9,57.5,44.5,3.7,157.0,0.9,58.5,53.8,5.4,0.1,,102.7,102.0,,,3.5,4.6,5.3,18.0
706,232,2005,1.1,34.1,1.3,4.0,45.5,42.7,41.8,4.5,392.7,3.0,14.0,67.2,,0.2,,97.2,98.5,36.8,40.8,,,10.4,10.0
707,232,2010,1.7,33.2,1.2,4.0,49.4,47.2,41.5,4.3,397.9,2.8,4.9,58.3,11.6,0.1,1.8,,,,,5.4,6.8,5.0,15.0
708,232,2018,2.3,32.2,1.8,4.0,59.0,56.1,41.0,4.2,403.9,2.4,11.0,46.5,10.3,0.1,7.5,97.9,99.5,46.7,47.6,8.0,8.9,6.7,33.2
