id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
392,131,2010,-0.1,89.0,-0.2,2.1,83.2,76.7,19.6,20.6,59.6,15.1,,7.6,,,,,,,,,,2.8,
393,131,2018,-0.5,89.0,-0.5,2.0,84.4,77.8,17.6,26.4,61.6,16.0,,6.4,,,,,,,,,,,
394,132,2005,2.9,42.1,4.9,5.3,61.9,58.6,42.1,4.8,58.1,1.9,30.2,75.6,4.5,0.1,2.5,91.9,89.4,20.7,23.6,1.5,4.3,12.4,3.7
395,132,2010,2.8,46.6,4.9,5.1,62.8,59.8,41.2,4.8,84.7,2.3,27.0,72.4,3.3,0.1,3.6,98.3,94.2,18.6,21.8,2.5,6.2,10.9,22.1
396,132,2018,2.9,53.7,4.8,4.9,64.1,61.2,39.7,5.1,168.4,3.8,79.7,68.0,4.6,,2.6,96.8,91.0,31.1,32.0,3.5,6.9,9.9,25.2
397,133,2005,0.6,42.1,0.3,1.9,75.4,68.8,24.7,9.6,19.6,1.6,,13.4,3.7,1.1,4.2,103.1,103.3,87.6,89.7,21.7,21.0,3.0,5.7
398,133,2010,0.4,41.6,0.2,1.7,76.2,69.4,21.9,12.1,24.8,2.0,,13.2,4.7,1.2,3.6,103.1,102.5,91.3,87.2,36.9,30.5,2.6,17.1
399,133,2018,0.2,40.8,-0.1,1.5,77.7,70.7,17.9,17.2,28.7,2.3,0.0,12.0,5.5,2.0,5.1,103.4,101.6,96.0,90.8,43.8,34.0,1.8,11.6
400,134,2005,3.4,50.2,4.4,4.8,80.6,73.0,42.4,4.8,63.2,35.5,,7.6,,,,,,,,,,,
401,134,2010,3.2,49.0,2.7,4.6,81.9,74.5,42.9,5.1,72.8,34.9,,5.6,,,,,,,,,,5.9,
402,134,2018,2.8,46.1,2.0,4.1,82.9,76.0,40.2,5.9,74.4,29.4,,4.2,,,,,,,,,,,
403,135,2005,1.3,76.3,1.7,2.6,77.4,72.4,32.3,7.7,712.5,0.7,3.4,20.5,5.9,1.9,4.9,103.7,105.6,83.3,76.5,23.8,23.0,9.1,22.6
404,135,2010,1.6,77.8,2.0,2.4,78.1,73.3,29.8,8.4,969.5,0.8,1.6,19.9,6.0,1.9,5.2,104.6,105.6,87.9,80.9,26.8,25.8,22.0,27.6
405,135,2018,1.4,80.2,1.8,2.3,78.9,74.0,26.3,10.4,1224.2,0.9,13.9,18.8,5.9,2.2,5.3,104.2,103.7,101.4,93.3,37.3,36.5,19.3,42.6
406,136,2005,-0.2,22.3,-0.2,4.0,68.2,66.9,38.8,5.5,2.9,2.7,,37.9,11.5,0.6,6.7,109.8,112.7,86.7,80.1,,,4.6,0.0
407,136,2010,-0.5,22.3,-0.5,3.6,69.1,67.6,36.9,6.2,2.8,2.7,,34.9,12.9,0.2,,112.4,111.0,,,,,4.5,0.0
408,136,2018,0.2,22.7,0.3,3.3,69.8,67.7,32.7,8.2,2.8,2.6,0.0,33.2,13.1,,12.5,95.7,95.4,,,,,4.7,0.0
409,137,2005,1.0,100.0,1.0,,,,13.2,28.9,21.3,63.1,,,2.1,,1.2,,,,,,,3.0,20.8
410,137,2010,1.9,100.0,1.9,,,,12.7,31.2,21.1,57.0,0.0,,2.3,,1.3,,,,,,,0.0,26.1
411,137,2018,0.6,100.0,0.6,,,,,,21.3,54.9,0.0,,2.0,6.6,1.4,,,,,,,0.0,20.8
412,138,2005,1.0,62.5,2.8,2.1,67.7,60.8,28.9,5.6,11.5,0.5,0.6,40.8,4.2,2.8,4.3,98.0,98.0,95.0,85.6,55.9,33.8,15.8,6.8
