id,country_id,year,GDP,GDP growth,GDP per capita,Agriculture,Industry,Services,Agriculture employment,Industry employment,Services employment,Unemployment rate,Labour participation (females),Labour participation (males),CPI,Agricultural index,Industrial index,Exports,Imports,Trade balance,Current account
575,194,2010,15206,-1.8,1510.0,5.1,55.4,39.4,54.1,19.8,26.1,12.1,70.6,75.9,100,,,,,,
576,194,2018,6534,0.3,534.0,4.1,39.8,56.1,65.4,19.5,15.2,11.5,70.9,73.8,4584,,,1840,886,953,-965
577,195,2005,1 157 248,3.7,26276.0,3.0,30.4,66.5,5.3,29.6,65.1,9.2,46.1,68.0,89,95,100,192798,289611,- 96 812,- 87 005
578,195,2010,1 431 617,0.0,30598.0,2.6,26.0,71.4,4.2,23.0,72.8,19.9,51.5,67.3,100,103,83,246265,315547,- 69 282,- 56 363
579,195,2018,1 237 255,3.3,26695.0,2.8,23.5,73.8,4.0,19.3,76.6,15.4,52.0,63.3,108,104,76,319622,350922,- 31 300,25622
580,196,2005,27932,6.2,1431.0,8.8,31.0,60.1,33.8,27.3,38.9,7.7,36.9,76.7,58,102,,6160,8307,- 2 147,-650
581,196,2010,56726,8.0,2808.0,9.5,29.7,60.9,33.6,24.9,41.5,4.9,34.8,76.3,100,123,,8304,12354,- 4 050,- 1 075
582,196,2018,81322,4.4,3910.0,8.2,29.6,62.2,26.0,25.7,48.3,4.1,34.9,73.9,123,128,,11741,21316,- 9 575,- 2 309
583,197,2005,4832,10.8,1351.0,5.8,25.8,68.3,14.6,26.3,59.2,23.5,14.1,67.0,81,96,100,335,2668,- 2 332,- 1 365
584,197,2010,8913,8.1,2192.0,6.4,23.3,70.2,12.8,25.7,61.5,23.7,14.8,66.4,100,75,115,576,3959,- 3 383,- 1 307
585,197,2018,13397,4.1,2796.0,4.4,22.5,73.1,9.7,29.4,61.0,28.6,19.8,72.1,111,87,130,1035,5624,- 4 589,- 1 564
586,198,2005,,,,,,,54.8,21.4,23.8,13.0,24.5,74.0,60,,,,,,- 2 473
587,198,2010,54459,8.8,1584.0,42.8,13.9,43.4,49.2,22.6,28.2,12.9,23.0,72.7,100,,,,,,- 1 725
588,198,2018,82887,3.0,2094.0,31.7,20.8,47.6,53.2,19.2,27.6,12.8,23.5,69.8,350,,,4061,9163,- 5 102,- 5 033
589,199,2005,2193,3.9,4395.0,11.3,37.4,51.3,7.0,24.2,68.8,9.8,38.9,65.5,69,99,,997,1050,-53,-144
590,199,2010,4368,5.2,8303.0,10.2,37.9,51.9,4.2,23.0,72.8,7.6,41.0,65.4,100,137,,2026,1397,628,651
591,199,2018,3278,-5.1,5871.0,9.7,31.8,58.4,2.6,24.4,73.0,8.1,41.9,65.1,264,146,,1441,1209,232,-2
592,200,2005,389043,2.8,43042.0,1.1,29.7,69.2,2.0,22.1,75.9,7.7,59.6,68.0,93,100,100,130264,111351,18912,23583
593,200,2010,488378,6.0,52009.0,1.6,28.9,69.4,2.1,19.9,78.0,8.6,58.9,67.4,100,95,93,158411,148788,9622,29196
594,200,2018,514476,3.3,52297.0,1.3,24.5,74.2,1.8,18.0,80.2,6.7,60.8,67.3,106,100,88,153106,153856,-751,17097
595,201,2005,408697,3.1,55153.0,0.9,27.0,72.1,3.9,22.5,73.6,4.4,59.5,75.0,96,99,100,130930,126574,4356,55573
596,201,2010,583783,3.0,74538.0,0.7,26.6,72.7,3.5,22.4,74.1,4.8,59.9,74.3,100,103,119,195609,176281,19329,86701
597,201,2018,668851,1.4,79609.0,0.7,25.8,73.5,3.4,20.6,76.0,4.9,62.8,73.9,98,101,130,299309,267501,31807,66558
598,202,2005,28397,6.2,1552.0,20.3,31.2,48.5,21.2,26.5,52.2,9.9,16.2,76.2,,100,100,6450,7898,- 1 448,299
599,202,2010,60465,3.4,2877.0,19.7,30.7,49.6,15.2,34.3,50.6,8.6,13.2,72.8,100,89,98,11353,17562,- 6 209,-367
600,202,2018,22163,-3.4,1203.0,20.5,30.2,49.3,23.0,33.0,44.0,12.1,11.6,69.7,663,79,,949,1773,-824,
601,203,2005,2312,6.7,337.0,23.8,30.7,45.6,56.7,16.2,27.1,11.2,47.3,69.5,,99,100,905,1329,-424,-19
602,203,2010,5642,6.5,738.0,21.8,27.9,50.3,53.1,15.5,31.4,11.7,46.9,71.4,100,124,114,1207,2659,- 1 452,-540
603,203,2018,6952,6.9,796.0,23.3,29.6,47.1,51.2,16.5,32.3,10.3,45.4,73.5,160,159,145,1198,2775,- 1 577,-35
604,204,2005,189318,4.2,2894.0,9.2,38.6,52.2,42.6,20.3,37.1,1.4,65.7,81.5,87,98,,110110,118164,- 8 054,- 7 642
605,204,2010,341105,7.5,5075.0,10.5,40.0,49.5,38.2,20.6,41.1,0.6,64.5,80.8,100,114,,195312,182393,12918,11486
606,204,2018,407026,4.3,5911.0,8.3,35.8,55.8,32.0,22.5,45.5,1.3,60.3,77.0,111,118,,233695,225681,8013,48126
607,205,2005,6259,4.7,3038.0,11.3,23.7,64.9,19.5,32.4,48.1,37.2,42.0,63.8,87,100,100,2041,3228,- 1 187,-159
608,205,2010,9407,3.4,4543.0,11.7,24.4,63.9,19.3,29.6,51.1,32.0,42.8,68.6,100,115,100,3351,5474,- 2 123,-198
609,205,2018,10746,2.9,5163.0,10.5,28.4,61.1,16.0,29.7,54.3,22.8,42.5,67.4,111,123,113,5670,7719,- 2 049,-129
610,206,2005,1850,52.7,1802.0,7.3,76.7,16.0,60.4,7.8,31.8,7.2,31.6,66.4,74,101,,43,102,-58,
